S:Croatia | P:is contained in | O:Europe
S:Croatia Airlines | P:is related to | O:Tirana
S:Croatia Airlines | P:is related to | O:Berlin
S:Croatia Airlines | P:is related to | O:Stockholm
S:Croatia Airlines | P:is related to | O:Hamburg
S:Rijeka Oil Terminal | P:is related to | O:Rijeka Refinery
S:Rijeka Oil Terminal | P:is related to | O:Sisak Refinery
S:Lng Hrvatska | P:is related to | O:Croatia
S:Okoli Natural Gas Storage Facility | P:is related to | O:Croatia
S:Krško Nuclear Power Plant | P:is related to | O:Hrvatska Elektroprivreda
S:Krško Nuclear Power Plant | P:is related to | O:Croatia
S:Hrvatska Elektroprivreda | P:is related to | O:Croatia
S:Croatia | P:is related to | O:Germany
S:Croatia | P:is related to | O:Italy
S:Croatia | P:is related to | O:Slovenia
S:Croatia | P:is related to | O:United Kingdom
S:Croatia | P:is related to | O:Czechia
S:Croatia | P:is related to | O:Poland
S:Croatia | P:is related to | O:Hungary
S:Croatia | P:is related to | O:France
S:Croatia | P:is related to | O:Netherlands
S:Croatia | P:is related to | O:Slovakia
S:Croatia | P:is related to | O:2024 Global Peace Index
S:International Monetary Fund | P:is related to | O:Croatia
S:Eurostat | P:is related to | O:Croatia
S:World Tourism Organization | P:is related to | O:Croatia
S:European Environmental Agency | P:is related to | O:Croatia
S:Transparency International | P:is related to | O:2022 Corruption Perceptions Index
S:Croatia | P:is related to | O:2022 Corruption Perceptions Index
S:Bounce | P:is related to | O:2023 Bounce Solo Travel Index
S:Croatia | P:is related to | O:2023 Bounce Solo Travel Index
S:Pinterest | P:is related to | O:2023 Pinterest And Zola Wedding Trends Report
S:Zola | P:is related to | O:2023 Pinterest And Zola Wedding Trends Report
S:Croatia | P:is related to | O:2023 Pinterest And Zola Wedding Trends Report
S:European Union Language Association | P:is related to | O:Croatia
S:Croatia | P:is part of | O:Kingdom Of Serbs, Croats And Slovenes
S:Croatia | P:is part of | O:Kingdom Of Yugoslavia
S:Croatia | P:is part of | O:Sfr Yugoslavia
S:War For Independence | P:occurs at | O:Croatia
S:Operation Storm | P:occurs at | O:Croatia
S:Zagreb | P:is contained in | O:Croatia
S:Split | P:is contained in | O:Croatia
S:Šibenik | P:is contained in | O:Croatia
S:Zadar | P:is contained in | O:Croatia
S:Osijek | P:is contained in | O:Croatia
S:Varaždin | P:is contained in | O:Croatia
S:Karlovac | P:is contained in | O:Croatia
S:Dalmatia | P:is contained in | O:Croatia
S:Istria | P:is contained in | O:Croatia
S:Slavonia | P:is contained in | O:Croatia
S:Krk | P:is contained in | O:Croatia
S:Dubrovnik | P:is contained in | O:Croatia
S:Vis | P:is contained in | O:Croatia
S:Korčula | P:is contained in | O:Croatia
S:Pula | P:is contained in | O:Croatia
S:Trogir | P:is contained in | O:Croatia
S:Tvrđa | P:is contained in | O:Osijek
S:Zagreb Fair | P:is contained in | O:Zagreb
S:Cathedral Of St. James In Šibenik | P:is contained in | O:Šibenik
S:Church Of St. Donatus In Zadar | P:is contained in | O:Zadar
S:Trogir Cathedral | P:is contained in | O:Trogir
S:Ruđer Bošković Institute | P:is contained in | O:Zagreb
S:Croatian Academy Of Sciences And Arts | P:is contained in | O:Zagreb
S:Croatian Radiotelevision (Hrt) | P:is contained in | O:Croatia
S:Hina | P:is contained in | O:Croatia
S:Rtl Televizija | P:is contained in | O:Croatia
S:Nova Tv | P:is contained in | O:Croatia
S:Kapital Net D.O.O. | P:is contained in | O:Croatia
S:Author D.O.O. | P:is contained in | O:Croatia
S:Hanza Media | P:is contained in | O:Croatia
S:Croatian Olympic Committee | P:is contained in | O:Croatia
S:Ministry Of Culture | P:is contained in | O:Croatia
S:City Of Zagreb | P:is contained in | O:Croatia
S:City Of Split | P:is contained in | O:Croatia
S:European Investment Bank | P:is related to | O:Croatia
S:Unesco | P:is related to | O:Croatia
S:Freedom House | P:is related to | O:Croatia
S:Reporters Without Borders | P:is related to | O:Croatia
S:Styria Media Group | P:is related to | O:Croatia
S:Jutarnji List | P:is related to | O:Croatia
S:Večernji List | P:is related to | O:Croatia
S:24Sata | P:is related to | O:Croatia
S:Novi List | P:is related to | O:Croatia
S:Slobodna Dalmacija | P:is related to | O:Croatia
S:Riva | P:is related to | O:Croatia
S:Hungarian-Croatian Parliament | P:is related to | O:Croatia
S:Cathedral Of St. James In Šibenik | P:is related to | O:Giorgio Da Sebenico
S:Cathedral Of St. James In Šibenik | P:is related to | O:Nicolas Of Florence
S:Trogir Cathedral | P:is related to | O:Radovan
S:Croatia | P:is related to | O:Central Europe
S:Croatia | P:is related to | O:Mediterranean
S:Croatia | P:is related to | O:Western Roman Empire
S:Croatia | P:is related to | O:Byzantine Empire
S:Dalmatia | P:is related to | O:Venice
S:Istria | P:is related to | O:Venice
S:Croatia | P:is related to | O:Austria
S:Croatia | P:is related to | O:Hungary
S:Croatia | P:is related to | O:Adriatic Sea
S:Global Innovation Index 2024 | P:is related to | O:Croatia
S:Eib Loan To The City Of Zagreb 2024 | P:occurs at | O:Zagreb
S:Eib Loan To The City Of Zagreb 2024 | P:is related to | O:European Investment Bank
S:Eib Loan To The City Of Zagreb 2024 | P:is related to | O:City Of Zagreb
S:Eib Loan To The City Of Split 2024 | P:occurs at | O:Split
S:Eib Loan To The City Of Split 2024 | P:is related to | O:European Investment Bank
S:Eib Loan To The City Of Split 2024 | P:is related to | O:City Of Split
S:Eib Provision Of Digital Infrastructure To Schools In Croatia | P:occurs at | O:Croatia
S:Eib Provision Of Digital Infrastructure To Schools In Croatia | P:is related to | O:European Investment Bank
S:Interliber Exhibition | P:occurs at | O:Zagreb Fair
S:2019 Press Freedom Index | P:is related to | O:Reporters Without Borders
S:2019 Press Freedom Index | P:is related to | O:Croatia
S:Freedom In The World 2019 | P:is related to | O:Freedom House
S:Freedom In The World 2019 | P:is related to | O:Croatia
S:Eurovision Song Contest 1989 | P:is related to | O:Yugoslavia
S:Riva | P:was present at | O:Eurovision Song Contest 1989
S:Eurovision Song Contest 1996 | P:is related to | O:Croatia
S:Eurovision Song Contest 1999 | P:is related to | O:Croatia
S:Eurovision Song Contest 2024 | P:is related to | O:Croatia
S:Pula Film Festival | P:occurs at | O:Pula
S:Animafest Zagreb | P:occurs at | O:Zagreb
S:1961 Academy Award For Best Animated Short Film | P:is related to | O:Dušan Vukotić
S:1961 Academy Award For Best Animated Short Film | P:is related to | O:Ersatz (Surogat)
S:Academy Award For Best Picture For Schindler'S List | P:is related to | O:Branko Lustig
S:Academy Award For Best Picture For Gladiator | P:is related to | O:Branko Lustig
S:97Th Academy Awards | P:is related to | O:The Man Who Could Not Remain Silent
S:97Th Academy Awards | P:is related to | O:Nebojša Slijepčević
S:The Man Who Could Not Remain Silent | P:is related to | O:Nebojša Slijepčević
S:Ersatz (Surogat) | P:is related to | O:Dušan Vukotić
S:Hungarian-Croatian Parliament Act Of 1891 | P:is related to | O:Hungarian-Croatian Parliament
S:Hungarian-Croatian Parliament Act Of 1891 | P:is related to | O:Croatia
S:National Sport Programme 2019 | P:is related to | O:Croatia
S:2009 World Men'S Handball Championship | P:occurs at | O:Croatia
S:2007 World Table Tennis Championships | P:occurs at | O:Croatia
S:2000 World Rowing Championships | P:occurs at | O:Croatia
S:1987 Summer Universiade | P:occurs at | O:Croatia
S:1979 Mediterranean Games | P:occurs at | O:Croatia
S:2000 World Men'S Handball Championship | P:occurs at | O:Croatia
S:2018 World Men'S Handball Championship | P:occurs at | O:Croatia
S:2025 World Men'S Handball Championship | P:occurs at | O:Croatia
S:2024 Men'S European Water Polo Championship | P:occurs at | O:Croatia
S:Love And Malice | P:is related to | O:Vatroslav Lisinski
S:Love And Malice | P:is related to | O:Croatia
S:Game Of Thrones | P:occurs at | O:Croatia
S:Star Wars: The Last Jedi | P:occurs at | O:Croatia
S:Robin Hood | P:occurs at | O:Dubrovnik
S:Speak No Evil | P:occurs at | O:Croatia
S:Season Of The Witch | P:occurs at | O:Istria
S:Titius | P:occurs at | O:Istria
S:Infinity Pool | P:occurs at | O:Šibenik
S:Canary Black | P:occurs at | O:Croatia
S:Hitman'S Wife'S Bodyguard | P:occurs at | O:Croatia
S:Sophie'S Choice | P:occurs at | O:Zagreb
S:Armour Of God | P:occurs at | O:Zagreb
S:Fiddler On The Roof | P:occurs at | O:Zagreb
S:Mamma Mia! Here We Go Again | P:occurs at | O:Vis
S:Succession | P:occurs at | O:Korčula
S:Hercules | P:occurs at | O:Croatia
S:The Weekend Away | P:occurs at | O:Croatia
S:Bliss | P:occurs at | O:Split
S:The Peacemaker | P:occurs at | O:Croatia
S:Filming In Croatia | P:is related to | O:Croatia
S:2022 R&D Expenditure In Croatia | P:is related to | O:Croatia
S:2017 Healthcare Related Expenditures In Croatia | P:is related to | O:Croatia
S:2022 Healthcare Spending In Croatia | P:is related to | O:Croatia
S:2025 Life Expectancy In Croatia | P:is related to | O:Croatia
S:2025 Infant Mortality In Croatia | P:is related to | O:Croatia
S:2022 Principal Cause Of Death In Croatia | P:is related to | O:Croatia
S:2022 Smoking In Croatia | P:is related to | O:Croatia
S:2022 Obesity In Croatia | P:is related to | O:Croatia
S:Illyrian Movement | P:is related to | O:Croatia
S:World Heritage List | P:is related to | O:Unesco
S:World Heritage List | P:is related to | O:Croatia
S:Intangible Cultural Heritage Of Croatia | P:is related to | O:Unesco
S:Intangible Cultural Heritage Of Croatia | P:is related to | O:Croatia
S:Necktie | P:is related to | O:Croatia
S:Necktie | P:is related to | O:France
S:Renaissance | P:is related to | O:Croatia
S:Baroque | P:is related to | O:Croatia
S:Rococo | P:is related to | O:Croatia
S:Art Nouveau | P:is related to | O:Croatia
S:Giorgio Da Sebenico | P:is related to | O:Croatia
S:Nicolas Of Florence | P:is related to | O:Croatia
S:Radovan | P:is related to | O:Croatia
S:Josip Juraj Strossmayer | P:is related to | O:Croatia
S:Vlaho Bukovac | P:is related to | O:Croatia
S:Ivan Meštrović | P:is related to | O:Croatia
S:Ivan Generalić | P:is related to | O:Croatia
S:Marko Marulić | P:is related to | O:Croatia
S:Marin Držić | P:is related to | O:Croatia
S:Ivan Gundulić | P:is related to | O:Croatia
S:Ivan Mažuranić | P:is related to | O:Croatia
S:August Šenoa | P:is related to | O:Croatia
S:Ivana Brlić-Mažuranić | P:is related to | O:Croatia
S:Marija Jurić Zagorka | P:is related to | O:Croatia
S:Antun Gustav Matoš | P:is related to | O:Croatia
S:Antun Branko Šimić | P:is related to | O:Croatia
S:Miroslav Krleža | P:is related to | O:Croatia
S:Tin Ujević | P:is related to | O:Croatia
S:Ivo Andrić | P:is related to | O:Croatia
S:Vatroslav Lisinski | P:is related to | O:Croatia
S:Ivan Zajc | P:is related to | O:Croatia
S:Ivo Pogorelić | P:is related to | O:Croatia
S:Dušan Vukotić | P:is related to | O:Croatia
S:Branko Lustig | P:is related to | O:Croatia
S:Nebojša Slijepčević | P:is related to | O:Croatia
S:Franjo Bučar | P:is related to | O:Croatia
