S:Republic Of Croatia | P:is related to | O:Croatia
S:Succession | P:occurs at | O:Korčula
S:Hercules | P:occurs at | O:Split
S:The Weekend Away | P:occurs at | O:Split
S:Bliss | P:occurs at | O:Split
S:The Peacemaker | P:occurs at | O:Croatia
S:Dalmatia | P:is part of | O:Croatia
S:Istria | P:is part of | O:Croatia
S:Slavonia | P:is part of | O:Croatia
S:Krk | P:is part of | O:Croatia
S:Michelin | P:is related to | O:Croatia
S:Hrvatski Sokol | P:is related to | O:Croatia
S:Croatian Sports Association | P:is related to | O:Croatia
S:Franjo Bučar | P:is related to | O:Croatia
S:National Sport Programme | P:is related to | O:Croatia
S:Croatian Olympic Committee | P:is related to | O:Olympic Games
S:World Cup 1998 | P:is related to | O:Croatia
S:World Cup 2018 | P:is related to | O:Croatia
S:World Cup 2022 | P:is related to | O:Croatia
S:Davis Cup | P:is related to | O:Croatia
S:2020 Summer Olympics | P:is related to | O:Croatia
S:2009 World Men'S Handball Championship | P:occurs at | O:Croatia
S:2007 World Table Tennis Championships | P:occurs at | O:Croatia
S:2000 World Rowing Championships | P:occurs at | O:Croatia
S:1987 Summer Universiade | P:occurs at | O:Croatia
S:1979 Mediterranean Games | P:occurs at | O:Croatia
S:2025 World Men'S Handball Championship | P:occurs at | O:Croatia
S:2018 World Men'S Handball Championship | P:occurs at | O:Croatia
S:2024 Men'S European Water Polo Championship | P:occurs at | O:Croatia
S:45.167°N 15.500°E | P:is contained in | O:Croatia
