S:croatia joins erm ii | P:is related to | O:croatia
S:yugoslav partisans take control | P:is related to | O:avnoj
S:yugoslav partisans take control | P:is related to | O:partisans
S:yugoslav partisans take control | P:is related to | O:soviet troops
S:yugoslav partisans take control | P:is related to | O:josip broz tito
S:austria | P:occurs at | O:death march nazi collaborators
S:austria | P:is contained in | O:vienna
S:austria | P:was present at | O:josip broz tito
S:death march nazi collaborators | P:is related to | O:ndh armed forces
S:death march nazi collaborators | P:is related to | O:ante pavelic
S:croatian democratic union | P:is part of | O:republic of croatia
S:republic of croatia | P:is part of | O:social democratic party of croatia
S:republic of croatia | P:was present at | O:ruđer boskovic institute
S:republic of croatia | P:is part of | O:national ecological network
S:republic of croatia | P:is part of | O:government of croatia
S:republic of croatia | P:is part of | O:sabor
S:republic of croatia | P:is part of | O:european union language association
S:austria-hungary | P:is part of | O:kingdom of dalmatia
S:austria-hungary | P:is part of | O:kingdom of hungary
S:austria-hungary | P:is part of | O:military frontier
S:house of habsburg | P:is part of | O:croatian military frontier
S:house of habsburg | P:is related to | O:ferdinand i
S:ministry of the interior | P:is part of | O:security and intelligence agency
S:croatian armed forces | P:is part of | O:general staff
S:unesco | P:is part of | O:unesco man and the biosphere programme
S:ruđer boskovic institute | P:was present at | O:ruđer boskovic
S:national ecological network | P:is part of | O:natura 2000 network
S:hrvatski sokol | P:is part of | O:croatian sports association
S:croatian sports association | P:is part of | O:croatian olympic committee
S:croatian sports association | P:is related to | O:franjo bucar
S:hrvatske ceste | P:is part of | O:china road and bridge corporation
S:bosnia and herzegovina | P:is contained in | O:north-western bosnia
S:bosnia and herzegovina | P:is contained in | O:neum
S:croatian parliament | P:is related to | O:ferdinand of austria
S:croatian parliament | P:is related to | O:franjo tudman
S:axis | P:is part of | O:independent state of croatia
S:independent state of croatia | P:is part of | O:ndh armed forces
S:independent state of croatia | P:is contained in | O:jasenovac complex
S:independent state of croatia | P:is related to | O:ante pavelic
S:socialist republic of croatia | P:is part of | O:socialist federal republic of yugoslavia
S:croatian government | P:is part of | O:office of displaced persons and refugees
S:croatian government | P:is related to | O:franjo tudman
S:united nations security council | P:is part of | O:unstaes
S:ban | P:is related to | O:josip jelacic
S:ottoman empire | P:is related to | O:louis ii
S:dubrovnik | P:is contained in | O:epidaurum
S:austrian empire | P:is part of | O:kingdom of dalmatia
S:roman empire | P:is related to | O:diocletian unspecified
S:duchy of croatia | P:is related to | O:branimir unspecified
S:duchy of croatia | P:is related to | O:trpimir unspecified
S:duchy of croatia | P:is related to | O:borna unspecified
S:duchy of croatia | P:is related to | O:einard unspecified
S:duchy of croatia | P:is related to | O:porga unspecified
S:duchy of croatia | P:is related to | O:mislav unspecified
S:duchy of croatia | P:is related to | O:john viii
S:croatian military | P:is part of | O:kfor
S:croatian military | P:is part of | O:nato-led isaf force
S:ministry of culture | P:is related to | O:dusan vukotic
S:ministry of culture | P:is related to | O:branko lustig
S:ministry of culture | P:is related to | O:nebojsa slijepcevic
S:interliber | P:is part of | O:zagreb fair
S:zagreb fair | P:is contained in | O:osijek
S:osijek | P:is contained in | O:tvrda
S:hrt | P:is related to | O:dusan vukotic
S:hrt | P:is related to | O:branko lustig
S:hrt | P:is related to | O:nebojsa slijepcevic
S:state anti-fascist council for the national liberation of croatia | P:is part of | O:avnoj
S:kingdom of serbs, croats, and slovenes | P:is related to | O:alexander i
S:croatian peasant party | P:is related to | O:stjepan radic
S:croatian peasant party | P:is related to | O:punisa racic
S:croatian peasant party | P:is related to | O:vladko macek
S:national assembly | P:is related to | O:stjepan radic
S:national assembly | P:is related to | O:punisa racic
S:ustase | P:is related to | O:ante pavelic
S:partisans | P:is part of | O:allies
S:partisans | P:is part of | O:1st sisak partisan detachment
S:partisans | P:is related to | O:josip broz tito
S:krk | P:is contained in | O:baska tablet
S:pula | P:was present at | O:dusan vukotic
S:pula | P:was present at | O:nebojsa slijepcevic
S:trogir | P:is contained in | O:trogir cathedral
S:benkovac | P:was present at | O:branimir unspecified
S:smiljin | P:was present at | O:nikola tesla
S:istria | P:was present at | O:giorgio da sebenico
S:istria | P:was present at | O:nicolas of florence
S:sibenik | P:is contained in | O:cathedral of st. james
S:sibenik | P:was present at | O:giorgio da sebenico
S:sibenik | P:was present at | O:nicolas of florence
S:sibenik | P:was present at | O:august senoa
S:sibenik | P:was present at | O:ivana brlic-mazuranic
S:jasenovac complex | P:was present at | O:ante pavelic
S:cathedral of st. james | P:was present at | O:giorgio da sebenico
S:cathedral of st. james | P:was present at | O:nicolas of florence
