croatia joins erm ii | IsRelatedTo | croatia
ministry of culture | IsRelatedTo | dusan vukotic
ministry of culture | IsRelatedTo | branko lustig
ministry of culture | IsRelatedTo | nebojsa slijepcevic
interliber | IsPartOf | zagreb fair
zagreb fair | IsContainedIn | osijek
osijek | IsContainedIn | tvrda
hrt | IsRelatedTo | dusan vukotic
hrt | IsRelatedTo | branko lustig
hrt | IsRelatedTo | nebojsa slijepcevic
state anti-fascist council for the national liberation of croatia | IsPartOf | avnoj
kingdom of serbs, croats, and slovenes | IsRelatedTo | alexander i
croatian peasant party | IsRelatedTo | stjepan radic
croatian peasant party | IsRelatedTo | punisa racic
croatian peasant party | IsRelatedTo | vladko macek
national assembly | IsRelatedTo | stjepan radic
national assembly | IsRelatedTo | punisa racic
ustase | IsRelatedTo | ante pavelic
partisans | IsPartOf | allies
partisans | IsPartOf | 1st sisak partisan detachment
partisans | IsRelatedTo | josip broz tito
krk | IsContainedIn | baska tablet
pula | WasPresentAt | dusan vukotic
pula | WasPresentAt | nebojsa slijepcevic
trogir | IsContainedIn | trogir cathedral
benkovac | WasPresentAt | branimir unspecified
smiljin | WasPresentAt | nikola tesla
istria | WasPresentAt | giorgio da sebenico
istria | WasPresentAt | nicolas of florence
sibenik | IsContainedIn | cathedral of st. james
sibenik | WasPresentAt | giorgio da sebenico
sibenik | WasPresentAt | nicolas of florence
sibenik | WasPresentAt | august senoa
sibenik | WasPresentAt | ivana brlic-mazuranic
jasenovac complex | WasPresentAt | ante pavelic
cathedral of st. james | WasPresentAt | giorgio da sebenico
cathedral of st. james | WasPresentAt | nicolas of florence
