Tymoviridae | parent taxon | Tymovirales
2018 Tour of the Basque Country | mountains classification  | Carlos Verona
2018 Tour de France | mountains classification  | Tom Dumoulin
1938 Tour de Suisse | mountains classification  | Giovanni Valetti
2018 Tour Down Under | mountains classification  | Nicholas Dlamini
2016 Volta a Catalunya | mountains classification  | Richie Porte
2017 Tour de France | mountains classification  | Chris Froome
1974 Tour de Suisse | mountains classification  | Eddy Merckx
2017 Giro d'Italia Femminile | mountains classification  | Megan Guarnier
2019 Tour de France | mountains classification  | Egan Bernal
2015 Arctic Race of Norway | mountains classification  | August Jensen
1936 Tour de Suisse | mountains classification  | Henri Garnier
1946 Tour de Suisse | mountains classification  | Gino Bartali
