Have You Ever? | composer | Diane Warren
Roman in Moscow | performer | Nicki Minaj
Original of the Species | performer | U2
Sexy Bitch | performer | David Guetta
Hey Hey, My My (Into the Black) | performer | Neil Young
Cross Road Blues | performer | Robert Johnson
Stranded (Haiti Mon Amour) | performer | Jay-Z
I Missed Again | performer | Phil Collins
Daylight in Your Eyes | performer | No Angels
Under the Bridge | performer | Red Hot Chili Peppers
Sugar, Sugar | performer | The Archies
Hold It Against Me | performer | Britney Spears
Dr. Stein | performer | Helloween
Another Day in Paradise | performer | Phil Collins
Always Be My Baby | performer | Mariah Carey
Miss You Much | performer | Janet Jackson
Sexy Bitch | performer | Akon
Do It like a Dude | performer | Jessie J
I'm So Lonesome I Could Cry | performer | Hank Williams
Your Love Is My Drug | performer | Kesha
Mambo No. 5 | performer | Pérez Prado
Wannabe | performer | Spice Girls
The Secret Is Love | performer | Nadine Beiler
Working on the Highway | performer | Bruce Springsteen
Right to Dream | performer | Mariah Carey
Carry Me in Your Dreams | performer | Kejsi Tola
Dance in the Dark | performer | Lady Gaga
Summer Wine | performer | Lee Hazlewood
If I Could Turn Back the Hands of Time | performer | R. Kelly
In the Air Tonight | performer | Phil Collins
Market Square Heroes | performer | Marillion
I treni di Tozeur | performer | Franco Battiato
Golden Skans | performer | Klaxons
Black Is Black | performer | Los Bravos
Cry to Me | performer | Solomon Burke
Front Lines (Hell on Earth) | performer | Mobb Deep
De troubadour | performer | Lenny Kuhr
Suus | performer | Rona Nishliu
Got to Get | performer | Rob'n'Raz
Kimi wa Boku da | performer | Atsuko Maeda
My Love Is Your Love | performer | Whitney Houston
California Gurls | performer | Snoop Dogg
Summertime Sadness | performer | Lana Del Rey
Sensual Seduction | performer | Snoop Dogg
Glass of Water | performer | Coldplay
Beauty and a Beat | performer | Justin Bieber
Blue Eyes Crying in the Rain | performer | Willie Nelson
Welcome to St. Tropez | performer | Timati
Welcome to St. Tropez | performer | DJ Antoine
Foolish Foolish | performer | Yuya Matsushita
You Really Got Me | performer | The Kinks
Always the Sun | performer | The Stranglers
Little Bad Girl | performer | Taio Cruz
Sex & Drugs & Rock & Roll | performer | Ian Dury
Me, Myself and Time | performer | Demi Lovato
Sk8er Boi | performer | Avril Lavigne
The Next Episode | performer | Snoop Dogg
Driving Home for Christmas | performer | Chris Rea
When Love Takes Over | performer | Kelly Rowland
The Blackberry Jams | producer | Jason Becker
EleKtrik: Live in Japan | producer | King Crimson
Concerto for Group and Orchestra | producer | Deep Purple
HoboSapiens | producer | Nick Franglen
Love Metal | producer | Hiili Hiilesmaa
Sin After Sin | producer | Roger Glover
Off the Wall | producer | Quincy Jones
Greatest Lovesongs Vol. 666 | producer | Hiili Hiilesmaa
Beggars Banquet | producer | Jimmy Miller
Holy Diver | producer | Ronnie James Dio
American V: A Hundred Highways | producer | Rick Rubin
The Man from Utopia | producer | Frank Zappa
HoboSapiens | producer | John Cale
Not Your Kind of People | producer | Butch Vig
Hunting High and Low | producer | A-ha
The Anthology... So Far | producer | Ringo Starr
Death of a Pop Star | producer | 9th Wonder
(What's the Story) Morning Glory? | producer | Noel Gallagher
Painting on Glass | producer | The 3rd and the Mortal
The Beach Boys' Christmas Album | producer | Brian Wilson
Fables of the Reconstruction | producer | Joe Boyd
Doo-Bop | producer | Easy Mo Bee
Scary Monsters and Nice Sprites | producer | Skrillex
Long. Live. ASAP | producer | Emile Haynie
Submodalities | producer | Bob Rock
The Madcap Laughs | producer | David Gilmour
100th Window | producer | Robert Del Naja
A Thousand Suns | producer | Rick Rubin
Long Live the Kane | producer | Marley Marl
Alien Love Secrets | producer | Steve Vai
Years of Refusal | producer | Jerry Finn
Memoirs of an Imperfect Angel | producer | Mariah Carey
Savage Amusement | producer | Dieter Dierks
Tubular Bells 2003 | producer | Mike Oldfield
The Fame Monster | producer | Lady Gaga
Blonde on Blonde | producer | Bob Johnston
Songs of Faith and Devotion | producer | Depeche Mode
Catch a Fire | producer | Chris Blackwell
Unapologetic | producer | David Guetta
Nevermind | producer | Butch Vig
...And the Circus Leaves Town | producer | Kyuss
One Man Band Man | producer | Nottz
Empty Glass | producer | Pete Townshend
Lady in Satin | producer | Irving Townsend
Underclass Hero | producer | Deryck Whibley
A Day Without Rain | producer | Nicky Ryan
Screamworks: Love in Theory and Practice | producer | Matt Squire
Off the Wall | producer | Michael Jackson
Murs 3:16: The 9th Edition | producer | 9th Wonder
White Chalk | producer | PJ Harvey
Upstyledown | producer | Kalju Tonuma
Black Clouds & Silver Linings | producer | Mike Portnoy
Cendres de Lune | producer | Laurent Boutonnat
Thick as a Brick | producer | Ian Anderson
Hot Rats | producer | Frank Zappa
Sgt. Pepper's Lonely Hearts Club Band | producer | George Martin
Orca Symphony No. 1 | producer | Serj Tankian
World Wide Live | producer | Dieter Dierks
Forever, Michael | producer | Brian Holland
Reality Killed the Video Star | producer | Trevor Horn
Queen II | producer | Roy Thomas Baker
Dying for the World | producer | Blackie Lawless
Sowiesoso | producer | Conny Plank
Gris-Gris | producer | Harold Battiste
Plastic Surgery Disasters | producer | Thom Wilson
A State of Trance 2007 | producer | Armin van Buuren
Zappa in New York | producer | Frank Zappa
Bud Plays Bird | producer | Michael Cuscuna
Skylarking | producer | Todd Rundgren
Let's Get Physical | producer | Swizz Beatz
Arular | producer | Richard X
Tangled in Reins | producer | Tom Werman
Venus Doom | producer | Hiili Hiilesmaa
Humanity: Hour I | producer | Desmond Child
Blackwater Park | producer | Steven Wilson
Da Bidness | producer | Droop-E
Electric Arguments | producer | Paul McCartney
The Academy in Peril | producer | John Cale
De-Loused in the Comatorium | producer | Rick Rubin
The Illogical Consequence | producer | Planet Funk
Finding Forever | nominated for | Grammy Award for Best Rap Album
Gracias por esperar | nominated for | Grammy Award for Best Latin Pop Album
Shepherd Moons | nominated for | Grammy Award for Best New Age Album
Mi plan | nominated for | Latin Grammy Award for Best Female Pop Vocal Album
T.I. vs. T.I.P. | nominated for | Grammy Award for Best Rap Album
Up from Down Under | nominated for | ARIA Award for Best Cover Art
Eleanora Fagan (1915-1959): To Billie with Love from Dee Dee Bridgewater | nominated for | Grammy Award for Best Jazz Vocal Album
Zooropa | nominated for | Grammy Award for Best Alternative Music Album
Universal Mind Control | nominated for | Grammy Award for Best Rap Album
A Million Lights | record label | Fascination Records
A Rush of Blood to the Head | record label | Capitol Records
Need to Control | record label | Earache Records
Electronic Earth | record label | Syco Music
Born to Die | record label | Polydor Records
Winter in America | record label | Strata-East Records
A Beautiful Lie | record label | Virgin Records
Supposed Former Infatuation Junkie | record label | Maverick
Koi No Yokan | record label | Reprise Records
Clayman | record label | Nuclear Blast
A Fine Day to Exit | record label | Music for Nations
Album Title Goes Here | record label | mau5trap
Welcome to Hungary! The Tommy Vig Orchestra 2012 Featuring David Murray | record label | Ferenc Schreck
Electro Ghetto | record label | ersguterjunge
... And Then There Was X | record label | Def Jam Recordings
UB44 | record label | DEP International
For Unlawful Carnal Knowledge | record label | Warner Bros. Records
Lace Up | record label | Bad Boy Records
A Different Kind of Truth | record label | Interscope Records
9012Live: The Solos | record label | Atco Records
... And Then There Was X | record label | Ruff Ryders Entertainment
Bad 25 | record label | Legacy Recordings
White Chalk | record label | Island Records
Oh, Inverted World | record label | Sub Pop
To Hell with God | record label | Century Media Records
Gloria! | record label | Epic Records
The Paramour Sessions | record label | Geffen Records
...And Out Come the Wolves | record label | Epitaph Records
Electric Wizard/Reverend Bizarre | record label | Rise Above Records
Silhouette in Red | record label | Hansa Records
Jazz Samba | record label | Verve Records
Arntor | record label | Head Not Found
A Quick Fix of Melancholy | record label | Jester Records
The Blessed Hellride | record label | Spitfire Records
Forever, Michael | record label | Motown
Tender Prey | record label | Mute Records
Saints Will Conquer | record label | Metal Blade Records
Race You to the Bottom | record label | Photo Finish Records
What It Is to Burn | record label | Drive-Thru Records
94 Diskont | record label | Thrill Jockey
Don't Forget | record label | Hollywood Records
Straight Outta Compton | record label | Ruthless Records
Complete Discography | record label | Dischord Records
A Natural Disaster | record label | Music for Nations
Enema of the State | record label | MCA Records
De Profundis Clamavi Ad Te Domine | record label | Regain Records
Compulsive Disclosure | record label | Recess Records
A Secret Wish | record label | ZTT Records
HIStory: Past, Present and Future, Book I | record label | Epic Records
In Keeping Secrets of Silent Earth: 3 | record label | Equal Vision Records
2Pacalypse Now | record label | Interscope Records
Moving Violation | record label | Motown
Unapologetic | record label | Def Jam Recordings
Rust in Peace | record label | Capitol Records
Good Apollo, I'm Burning Star IV, Volume One: From Fear Through the Eyes of Madness | record label | Columbia Records
The Ever Popular Tortured Artist Effect | record label | Bearsville Records
Mort aux vaches | record label | Staalplaat
Narrow Stairs | record label | Barsuk Records
Jackson 5 Christmas Album | record label | Motown
MTA2: Baptized in Dirty Water | record label | SRC Records
In the Zone | record label | Jive Records
All That You Can't Leave Behind | record label | Island Records
Yessongs | record label | Atlantic Records
A Blaze in the Northern Sky | record label | Peaceville Records
Limping for a Generation | record label | RCA
Sowiesoso | record label | Sky Records
London Calling | record label | Epic Records
Black Holes and Revelations | record label | Warner Bros. Records
Strong Persuader | record label | Mercury Records
Sonic Firestorm | record label | Noise Records
A Broken Frame | record label | Mute Records
ATLiens | record label | LaFace Records
The Life of Joseph W. McVey | record label | Asylum Records
The Chrysalis Years | record label | Chrysalis Records
Slania | record label | Nuclear Blast
Orca Symphony No. 1 | record label | Serjical Strike Records
Songs for My Mother | record label | Polydor Records
A Little More Personal (Raw) | record label | Casablanca Records
Joe's Garage | record label | Zappa Records
Penance Soiree | record label | V2 Records
