Urusei Yatsura 2: Beautiful Dreamer | director | Mamoru Oshii
Silent Hill: Revelation | country of origin | Canada
Ikiru | country of origin | Japan
Lara Croft: Tomb Raider | country of origin | Japan
...More than 1000 Words | country of origin | Israel
Live and Become | country of origin | Israel
Batman Begins | country of origin | United Kingdom
Begging for Love | country of origin | Japan
The Call of the Wild: Dog of the Yukon | country of origin | Canada
Golgo 13: The Professional | country of origin | Japan
Eyes Wide Shut | country of origin | United Kingdom
Churchill's Island | country of origin | Canada
Hitler: The Rise of Evil | country of origin | Canada
The Unsaid | country of origin | Canada
Anne of Green Gables | country of origin | Canada
George and Rosemary | country of origin | Canada
Resident Evil: Damnation | country of origin | Japan
Beowulf & Grendel | country of origin | Canada
Babar: The Movie | country of origin | Canada
Pokémon 4Ever | country of origin | Japan
Live at Home | country of origin | Canada
The Law in These Parts | country of origin | Israel
La Salla | country of origin | Canada
Outrageous! | country of origin | Canada
Fight! Iczer One | country of origin | Japan
FLCL | country of origin | Japan
Goal III: Taking on the World | country of origin | United Kingdom
Stade 81 | country of origin | Canada
Harry Potter and the Prisoner of Azkaban | country of origin | United Kingdom
It Happened Here | country of origin | United Kingdom
My Nanny's Secret | country of origin | Canada
West Side Girl | country of origin | Israel
If You Love This Planet | country of origin | Canada
Intern Academy | country of origin | Canada
Resident Evil: Degeneration | country of origin | Japan
And Now for Something Completely Different | country of origin | United Kingdom
Wallace & Gromit: The Curse of the Were-Rabbit | country of origin | United Kingdom
Adam Resurrected | country of origin | Israel
Resident Evil: Extinction | country of origin | United Kingdom
Alila | country of origin | Israel
Inventing Our Life: The Kibbutz Experiment | country of origin | Israel
Romeo and Juliet in Sarajevo | country of origin | Canada
The Whistleblower | country of origin | Canada
The Little Girl Who Lives Down the Lane | country of origin | Canada
Phantom Quest Corp. | country of origin | Japan
Saint Seiya: The Lost Canvas | publication date | 24 June 2009
Mermaid Saga | publication date | 01 January 2003
Shake It Off | publication date | 18 August 2014
A.LI.CE | publication date | 05 February 2000
Foo Fighters: Back and Forth | publication date | 10 May 2011
Nasu: A Migratory Bird with Suitcase | publication date | 01 January 2007
Anne no Nikki | publication date | 01 January 1995
Area 88 | publication date | 01 January 2004
Ride Your Wave | publication date | 21 June 2019
The After | publication date | 06 February 2014
Remember That Night | publication date | 17 September 2007
Managing the Details of an Undertaking | publication date | 29 May 2007
Stones in Exile | publication date | 01 January 2010
Dallos | publication date | 01 January 1983
Robotech: The Movie | publication date | 01 January 1986
Hoshizora Kiseki | publication date | 21 June 2006
Max & Co | publication date | 11 June 2007
Big Wars | publication date | 01 January 1993
ParaNorman | publication date | 03 August 2012
Man in the Sand | publication date | 01 January 1999
Pearl Jam Twenty | publication date | 01 January 2011
Hwages | publication date | 23 December 2016
Burn Up! | publication date | 01 January 1991
Kyoufu Densetsu Kaiki! Frankenstein | publication date | 01 January 1981
Aquatic Language | publication date | 26 October 2002
Urusei Yatsura: Only You | publication date | 01 January 1983
Foo Fighters: Back and Forth | publication date | 07 April 2011
Kurt & Courtney | publication date | 01 January 1998
Le Portrait de Petit Cossette | publication date | 01 January 2004
Yamato: The New Voyage | publication date | 01 January 1979
She and Her Cat | publication date | 01 January 1999
Green Vs. Red | publication date | 02 April 2008
The Vigilante | publication date | 01 January 1947
Foo Fighters: Back and Forth | publication date | 24 June 2011
11B-X-1371 | publication date | 19 May 2015
65 Revisited | publication date | 01 January 2007
Science Ninja Team Gatchaman: The Movie | publication date | 01 January 1978
Short Peace | publication date | 20 July 2013
Hilltop Hospital | publication date | 01 January 1999
D Tour: A Tenacious Documentary | publication date | 01 January 2008
The Strange Adventures of Prince Courageous | publication date | 01 January 1923
The Pirates! In an Adventure with Scientists! | publication date | 29 March 2012
Chewbacca Mask Lady | publication date | 19 May 2016
The Wrong Trousers | publication date | 26 December 1993
Bilo jednom... | publication date | 27 October 2006
The Pirates! In an Adventure with Scientists! | publication date | 30 March 2012
Meeting People Is Easy | publication date | 01 January 1998
Kiss Unplugged | publication date | 12 March 1996
Last Year's Snow Was Falling | publication date | 01 January 1983
Foo Fighters: Back and Forth | publication date | 23 June 2011
A Journal of Insomnia | publication date | 18 April 2013
Live at Wacken Open Air 2007 | publication date | 05 February 2008
Beast Wars II: Lio Convoy's Close Call! | publication date | 01 January 1998
No Direction Home | publication date | 01 January 2005
Saint Seiya: Legend of Sanctuary | publication date | 21 June 2014
Bring the Soul: The Movie | publication date | 07 August 2019
To Heart 2: Dungeon Travelers | publication date | 30 June 2011
In the Days of Daniel Boone | publication date | 01 January 1923
Seven Digital Deadly Sins | publication date | 01 January 2014
Genshiken | publication date | 01 January 2006
Tsunami: The Aftermath | publication date | 28 November 2006
Closed Mondays | publication date | 01 January 1974
A Grand Day Out | publication date | 01 January 1989
Death Has a Shadow | publication date | 31 January 1999
Big Fish & Begonia | publication date | 08 July 2016
Zaion: I Wish You Were Here | publication date | 01 January 2001
X-treme Close-Up | publication date | 14 July 1992
Jing: King of Bandits | publication date | 01 January 2004
The Crystal Cube | publication date | 07 July 1983
Saint Seiya: The Lost Canvas | publication date | 24 August 2006
The Adventures of Prince Achmed | publication date | 03 September 1926
Madonna: Truth or Dare | publication date | 24 May 1991
Zorro's Fighting Legion | publication date | 01 January 1939
Strange Too | publication date | 01 January 1990
Tales of Vesperia: The First Strike | publication date | 01 January 2009
In Search of the Lost Future | publication date | 26 November 2010
Eat the Document | publication date | 01 January 1966
Live House | publication date | 01 January 2009
Wolves of the North | publication date | 01 January 1924
The Eagle's Talons | publication date | 30 April 1923
Donald's Double Trouble | characters | Daisy Duck
The Lord of the Rings: The Two Towers | characters | Legolas
Herr Meets Hare | characters | Bugs Bunny
Hi-Rise Wise Guys | characters | Woody Woodpecker
The Lord of the Rings: The Return of the King | characters | Aragorn
Fantastic Beasts: The Crimes of Grindelwald | characters | Gellert Grindelwald
Mission: Impossible 2 | characters | Ethan Hunt
Bellboy Donald | characters | Donald Duck
Spinach Fer Britain | characters | Popeye
Harry Potter and the Half-Blood Prince | characters | Albus Dumbledore
Men in Black 3 | characters | Boris the Animal
A Nightmare on Elm Street 4: The Dream Master | characters | Freddy Krueger
Terminator Genisys | characters | Kyle Reese
Portrait of the Artist as a Young Bunny | characters | Bugs Bunny
Scooby-Doo | characters | Velma Dinkley
Don Quixote | characters | Sancho Panza
Mr. Holmes | characters | Sherlock Holmes
Dracula Has Risen from the Grave | characters | Count Dracula
Friday the 13th Part VIII: Jason Takes Manhattan | characters | Jason Voorhees
The Last of the Mohicans | characters | Chingachgook
The Lord of the Rings: The Return of the King | characters | Legolas
Friday the 13th Part 2 | characters | Pamela Voorhees
The Bourne Ultimatum | characters | Jason Bourne
The Lord of the Rings: The Return of the King | characters | Gollum
Jungle Rhythm | characters | Mickey Mouse
Taste the Blood of Dracula | characters | Count Dracula
Pirates of the Caribbean: Dead Men Tell No Tales | characters | Captain Salazar
Men in Black 3 | characters | Agent J
Spaced Out Bunny | characters | Bugs Bunny
A Caribbean Mystery | characters | Miss Marple
The Talented Mr. Ripley | characters | Tom Ripley
The Gallopin' Gaucho | characters | Minnie Mouse
Highlander: Endgame | characters | Duncan MacLeod
Superman and the Mole Men | characters | Lois Lane
House of Dracula | characters | Count Dracula
The Big Lebowski | characters | Walter Sobchak
Woody's Kook-Out | characters | Woody Woodpecker
How to Play Football | characters | Goofy
All in a Nutshell | characters | Donald Duck
Hypnotic Hick | characters | Woody Woodpecker
The Three Musketeers | characters | D'Artagnan
The Sixth Sense | characters | Malcolm Crowe
Halloween H20: 20 Years Later | characters | Laurie Strode
Scooby-Doo | characters | Daphne Blake
Drip Dippy Donald | characters | Donald Duck
The Big Sleep | characters | Philip Marlowe
The Paneless Window Washer | characters | Popeye
The Three Musketeers | characters | Aramis
A Lad in Bagdad | characters | Woody Woodpecker
30,000 Leagues Under the Sea | characters | Captain Nemo
Wrestling Wrecks | characters | Woody Woodpecker
Child's Play 2 | characters | Andy Barclay
Crazy Over Daisy | characters | Daisy Duck
Mickey's Christmas Carol | characters | Scrooge McDuck
The Absent-Minded Professor | characters | Ned Brainard
Sleepy Time Donald | characters | Daisy Duck
A Nightmare on Elm Street 5: The Dream Child | characters | Freddy Krueger
Clock Cleaners | characters | Mickey Mouse
The Lord of the Rings: The Two Towers | characters | Aragorn
Born to Peck | characters | Woody Woodpecker
Timecop | characters | Max Walker
Mickey's Twice Upon a Christmas | characters | Daisy Duck
Dumb and Dumber | characters | Lloyd Christmas
Die Hard | characters | Hans Gruber
Avengers: Endgame | characters | Thanos
Alien 3 | characters | Ellen Ripley
Donald's Cousin Gus | characters | Donald Duck
Society Dog Show | characters | Mickey Mouse
A Corny Concerto | characters | Bugs Bunny
Wild Elephinks | characters | Popeye
Crossing the Bridge | characters | Mort Golden
Billposters | characters | Goofy
Mr. Duck Steps Out | characters | Daisy Duck
Tom and Huck | characters | Tom Sawyer
Mon Oncle | characters | Monsieur Hulot
Mickey's Birthday Party | characters | Minnie Mouse
Dredd | characters | Judge Anderson
Dumb Bell of the Yukon | characters | Daisy Duck
Avengers: Infinity War | characters | Thanos
Scrap the Japs | characters | Popeye
55 Days at Peking | narrative location | Beijing
The Tango Lesson | narrative location | Buenos Aires
Minsara Kanavu | narrative location | Chennai
The French Kissers | narrative location | Rennes
The Adventures of Priscilla, Queen of the Desert | narrative location | Sydney
The Organizer | narrative location | Turin
Little Red Flowers | narrative location | Beijing
The World Is Not Enough | narrative location | Istanbul
The Untold Story | narrative location | Macau
The Perks of Being a Wallflower | narrative location | Pittsburgh
My Life on Ice | narrative location | Rouen
Fruits of Passion | narrative location | Shanghai
Law Abiding Citizen | narrative location | Philadelphia
Deadly Eyes | narrative location | Toronto
Monsieur Lazhar | narrative location | Montreal
Dr. T & the Women | narrative location | Dallas
Who Saw Her Die? | narrative location | Venice
Moi, un noir | narrative location | Abidjan
Fanny and Alexander | narrative location | Uppsala
The White Countess | narrative location | Shanghai
Dhoom 2 | narrative location | Rio de Janeiro
Rang De Basanti | narrative location | Delhi
Variety Lights | narrative location | Rome
For My Father | narrative location | Tel Aviv
Get Carter | narrative location | Newcastle upon Tyne
RoboCop | narrative location | Detroit
Pink Flamingos | narrative location | Baltimore
The Princess and the Frog | narrative location | New Orleans
Lust, Caution | narrative location | Shanghai
RoboCop | narrative location | Detroit
A Short Film About Love | narrative location | Warsaw
Rhapsody in August | narrative location | Nagasaki
Accattone | narrative location | Rome
The Bitter Tea of General Yen | narrative location | Shanghai
Salaam Namaste | narrative location | Melbourne
Love in Disguise | narrative location | Shanghai
Striking Distance | narrative location | Pittsburgh
Breakfast with Scot | narrative location | Toronto
Piazza Fontana: The Italian Conspiracy | narrative location | Milan
12 Tangos | narrative location | Buenos Aires
Zombibi | narrative location | Amsterdam
She's Out of My League | narrative location | Pittsburgh
Absolute Giganten | narrative location | Hamburg
Be with Me | narrative location | Singapore
The Best Exotic Marigold Hotel | narrative location | Jaipur
District 9 | narrative location | Johannesburg
My Name Is Joe | narrative location | Glasgow
Harry and the Hendersons | narrative location | Seattle
The Man on the Roof | narrative location | Stockholm
Bicycles Are for the Summer | narrative location | Madrid
Kahaani | narrative location | Kolkata
The Song of Sparrows | narrative location | Tehran
Lovers' Kiss | narrative location | Kamakura
Rio 2 | narrative location | Rio de Janeiro
Les Vampires | narrative location | Paris
Hands in the Hair | narrative location | Shanghai
Talaash: The Answer Lies Within | narrative location | Mumbai
Jason's Lyric | narrative location | Houston
The Shop Around the Corner | narrative location | Budapest
71 Fragments of a Chronology of Chance | narrative location | Vienna
Dinner for Adele | narrative location | Prague
Ritratto di borghesia in nero | narrative location | Venice
RoboCop 2 | narrative location | Detroit
Incendies | narrative location | Montreal
Roadside Romeo | narrative location | Mumbai
The Immortal Heart | narrative location | Nuremberg
The Angels' Share | narrative location | Glasgow
Pusher II | narrative location | Copenhagen
Ace Ventura: Pet Detective | narrative location | Miami
Go for It, Baby | narrative location | Munich
The Boondock Saints | narrative location | Boston
Transformers: Dark of the Moon | narrative location | Chicago
Monsoon Wedding | narrative location | Delhi
Children of Glory | narrative location | Budapest
The White Sheik | narrative location | Rome
Even the Rain | narrative location | Cochabamba
The Honey Pot | narrative location | Venice
Nosferatu the Vampyre | narrative location | Wismar
Anniyan | narrative location | Chennai
Daughters of Today | narrative location | Lahore
The Limits of Control | filming location | Madrid
The Cardinal | filming location | Vienna
Short Cuts | filming location | Los Angeles
Home Alone 2: Lost in New York | filming location | New York City
Triumph of the Will | filming location | Nuremberg
Save the Last Dance | filming location | Chicago
The Third Man | filming location | Vienna
Eight Men Out | filming location | Chicago
Spider-Man 2 | filming location | Los Angeles
Turn Left, Turn Right | filming location | Taipei
Work at Oil Derricks | filming location | Baku
That Man from Rio | filming location | Rio de Janeiro
The Dark Knight Rises | filming location | Pittsburgh
The Dark Knight Rises | filming location | Los Angeles
The Night of the Generals | filming location | Warsaw
La Notte | filming location | Milan
Nuovomondo | filming location | Buenos Aires
With Our King and Queen Through India | filming location | Delhi
8mm 2 | filming location | Budapest
Tears of Steel | filming location | Amsterdam
Jesus Christ Vampire Hunter | filming location | Ottawa
Indiana Jones and the Kingdom of the Crystal Skull | filming location | Los Angeles
Resident Evil: Retribution | filming location | Toronto
Blade Runner | filming location | Los Angeles
Salmon Fishing in the Yemen | filming location | London
Rojo Amanecer | filming location | Mexico City
Salaam Namaste | filming location | Melbourne
Don't Look Now | filming location | Venice
The Fifth Element | filming location | London
Carnival of Souls | filming location | Salt Lake City
Angoroj | filming location | Paris
Rang De Basanti | filming location | Delhi
Benny's Video | filming location | Vienna
The Expendables 2 | filming location | Hong Kong
The Next Man | filming location | New York City
Police Story 2 | filming location | Hong Kong
The Lives of Others | filming location | Berlin
X-Men: First Class | filming location | Los Angeles
Night of the Living Dead | filming location | Pittsburgh
She's Out of My League | filming location | Pittsburgh
Only God Forgives | filming location | Bangkok
Saw II | filming location | Toronto
The Immortal Heart | filming location | Nuremberg
Crane World | filming location | Buenos Aires
Infernal Affairs III | filming location | Hong Kong
Once Fallen | filming location | Los Angeles
The White Sheik | filming location | Rome
Ghostbusters | filming location | New York City
Maquilapolis | filming location | Tijuana
Star Trek IV: The Voyage Home | filming location | San Francisco
The Day After Tomorrow | filming location | Montreal
Bezerra de Menezes: o diário de um espírito | filming location | Maranguape
Who Framed Roger Rabbit | filming location | Los Angeles
The Captain's Paradise | filming location | Gibraltar
Mouna Ragam | filming location | Delhi
12 Monkeys | filming location | Baltimore
Die Hard | filming location | Los Angeles
Inside Man | filming location | New York City
What Will You Do When You Catch Me? | filming location | Warsaw
Rocky | filming location | Philadelphia
Agent 3S3: Massacre in the Sun | filming location | Berlin
Spider-Man 3 | filming location | Los Angeles
Dhoom 2 | filming location | Rio de Janeiro
Who Saw Her Die? | filming location | Venice
The Next Three Days | filming location | Pittsburgh
Anniyan | filming location | Amsterdam
Batman v Superman: Dawn of Justice | filming location | Detroit
The Edukators | filming location | Berlin
Dil Chahta Hai | filming location | Sydney
The Million Eyes of Sumuru | filming location | Hong Kong
Accidents Happen | filming location | Sydney
A Special Day | filming location | Rome
Bulletproof Monk | filming location | Toronto
Bullitt | filming location | San Francisco
Spider-Man 2 | filming location | New York City
The Conman | filming location | Hong Kong
Taken 2 | filming location | Istanbul
7 mujeres, 1 homosexual y Carlos | filming location | Tijuana
Dinner for Adele | filming location | Prague
Cruel Intentions | filming location | New York City
Dogtown and Z-Boys | main subject | surfing
Nambugun | main subject | Korean War
Extreme Ops | main subject | Alps
Libertarias | main subject | Spanish Civil War
Little Big League | main subject | baseball
Pugili | main subject | boxing
Jaws 2 | main subject | shark
Nambugun | main subject | war correspondent
Jaws 3-D | main subject | shark
5 Days of War | main subject | Russo-Georgian War
March of the Penguins | main subject | Antarctica
Eight Men Out | main subject | baseball
Waltz with Bashir | main subject | 1982 Lebanon War
We Live in Public | main subject | Internet
The House of Rothschild | main subject | Rothschild family
Education for Death | main subject | Nazi Germany
Fried Green Tomatoes | main subject | friendship
Letters from Iwo Jima | main subject | Battle of Iwo Jima
Indiana Jones and the Temple of Doom | main subject | slavery
The Endless Summer | main subject | surfing
The Siege of the Alcazar | main subject | Spanish Civil War
Film, Film, Film | main subject | filmmaking
I'm Not There | main subject | Bob Dylan
Marines, Let's Go | main subject | Korean War
4 Months, 3 Weeks and 2 Days | main subject | abortion
Orphans of the Storm | main subject | French Revolution
Der Todesking | main subject | suicide
Land and Freedom | main subject | Spanish Civil War
Dear America: Letters Home from Vietnam | main subject | Vietnam War
The Hurt Locker | main subject | Iraq War
Europa Europa | main subject | The Holocaust
Der Fuehrer's Face | main subject | Nazi Germany
Ben X | main subject | Asperger syndrome
Nekromantik | main subject | necrophilia
The Steel Helmet | main subject | Korean War
The Cell 2 | main subject | serial killer
Raging Bull | main subject | boxing
Confusions of a Nutzy Spy | main subject | World War II
Care Bears Movie II: A New Generation | main subject | bear
50 First Dates | main subject | amnesia
Alibi Ike | main subject | baseball
Man of Conquest | main subject | Texas Revolution
Frenzy | main subject | serial killer
Flame & Citron | main subject | Danish resistance movement
Feldzug in Polen | main subject | Invasion of Poland
Journey to the Beginning of Time | main subject | dinosaur
Hoop Dreams | main subject | basketball
Donald Gets Drafted | main subject | World War II
Freud: The Secret Passion | main subject | Sigmund Freud
Days of Thunder | main subject | NASCAR
One Hundred Steps | main subject | mafia
Take the High Ground! | main subject | Korean War
Black Beauty | main subject | horse
The Last Ten Days | main subject | Adolf Hitler
In the Year of the Pig | main subject | Vietnam War
A.I. Artificial Intelligence | main subject | artificial intelligence
Gay Sex in the 70s | main subject | New York City
The King's Speech | main subject | stuttering
71: Into the Fire | main subject | Battle of P'ohang-dong
The Wild Stallion | main subject | horse
The Cell | main subject | serial killer
Demonlover | main subject | pornography
Pan's Labyrinth | main subject | Spanish Civil War
Jakob the Liar | main subject | The Holocaust
Black Beauty | main subject | horse
Super Size Me | main subject | obesity
There Be Dragons | main subject | Spanish Civil War
WALL-E | main subject | Consumerism
Secret Sunshine | main subject | grief
Tora! Tora! Tora! | main subject | Attack on Pearl Harbor
More than Honey | main subject | Switzerland
In the Beginning There Was Light | main subject | inedia
Zero Dark Thirty | main subject | September 11 attacks
Rugged Bear | main subject | bear
Grizzly Man | main subject | Timothy Treadwell
Hot to Trot | main subject | horse
The Princess and the Frog | main subject | fairy tale
The Forbidden Team | main subject | association football
Bend It Like Beckham | main subject | association football
Idle Hands | main subject | human hand
Shaun the Sheep Movie | nominated for | Academy Award for Best Animated Feature
Three Days of the Condor | nominated for | Academy Award for Best Film Editing
Me and My Moulton | nominated for | Academy Award for Best Animated Short Film
The American President | nominated for | Academy Award for Best Original Musical or Comedy Score
Geri's Game | nominated for | Academy Award for Best Animated Short Film
The Karate Kid | nominated for | Academy Award for Best Supporting Actor
Lethal Weapon 2 | nominated for | Academy Award for Best Sound Editing
Kung Fu Panda 2 | nominated for | Academy Award for Best Animated Feature
Dead Poets Society | nominated for | BAFTA Award for Best Film
Ghosts of Mississippi | nominated for | Academy Award for Best Supporting Actor
Whale Rider | nominated for | Academy Award for Best Actress
The Usual Suspects | nominated for | Academy Award for Best Supporting Actor
Penny Serenade | nominated for | Academy Award for Best Actor
Sundae in New York | nominated for | Academy Award for Best Animated Short Film
Mickey's Christmas Carol | nominated for | Academy Award for Best Animated Short Film
Building a Building | nominated for | Academy Award for Best Animated Short Film
The Ghost and the Darkness | nominated for | Academy Award for Best Sound Editing
I'm Not There | nominated for | Academy Award for Best Supporting Actress
Harvie Krumpet | nominated for | Academy Award for Best Animated Short Film
For the Boys | nominated for | Academy Award for Best Actress
The Pope of Greenwich Village | nominated for | Academy Award for Best Supporting Actress
Scrooged | nominated for | Academy Award for Best Makeup and Hairstyling
Winnie the Pooh and the Blustery Day | nominated for | Academy Award for Best Animated Short Film
The Rogue Song | nominated for | Academy Award for Best Actor
My Cousin Vinny | nominated for | Academy Award for Best Supporting Actress
The Graduate | nominated for | Academy Award for Best Director
A Symposium on Popular Songs | nominated for | Academy Award for Best Animated Short Film
Two-Minute Warning | nominated for | Academy Award for Best Film Editing
Shark Tale | nominated for | Academy Award for Best Animated Feature
Mike's New Car | nominated for | Academy Award for Best Animated Short Film
The Pirates! In an Adventure with Scientists! | nominated for | Academy Award for Best Animated Feature
Save the Tiger | nominated for | Academy Award for Best Actor
The Wind Rises | nominated for | Academy Award for Best Animated Feature
Training Day | nominated for | Academy Award for Best Actor
Brokeback Mountain | nominated for | Academy Award for Best Picture
The Enemy Below | nominated for | Academy Award for Best Special Effects
The Tale of the Princess Kaguya | nominated for | Academy Award for Best Animated Feature
Despicable Me 2 | nominated for | Academy Award for Best Animated Feature
12 Monkeys | nominated for | Academy Award for Best Supporting Actor
Alien 3 | nominated for | Academy Award for Best Visual Effects
Good Will Hunting | nominated for | Academy Award for Best Picture
Batman Begins | nominated for | Academy Award for Best Cinematography
One Foot in Heaven | nominated for | Academy Award for Best Picture
Watch on the Rhine | nominated for | Academy Award for Best Actor
Road to Perdition | nominated for | Academy Award for Best Cinematography
Chico and Rita | nominated for | Goya Award for Best Animated Film
Beginners | nominated for | Academy Award for Best Supporting Actor
Pretty Woman | nominated for | Academy Award for Best Actress
A Serious Man | nominated for | Academy Award for Best Picture
An Unmarried Woman | nominated for | Academy Award for Best Picture
Spirited Away | nominated for | Academy Award for Best Animated Feature
As Good as It Gets | nominated for | Academy Award for Best Actor
David and Lisa | nominated for | Academy Award for Best Director
When Time Ran Out | nominated for | Academy Award for Best Costume Design
Married to the Mob | nominated for | Academy Award for Best Supporting Actor
We Can't Live Without Cosmos | nominated for | Academy Award for Best Animated Short Film
The Broadway Melody | nominated for | Academy Award for Best Actress
Bitter Rice | nominated for | Academy Award for Best Story
Hoop Dreams | nominated for | Academy Award for Best Film Editing
Unforgiven | nominated for | Academy Award for Best Actor
The Broadway Melody | nominated for | Academy Award for Best Picture
Rugged Bear | nominated for | Academy Award for Best Animated Short Film
I Love You Phillip Morris | nominated for | Writers Guild of America Award for Best Adapted Screenplay
Dragonheart | nominated for | Academy Award for Best Visual Effects
Days of Heaven | nominated for | Academy Award for Best Cinematography
The Pointer | nominated for | Academy Award for Best Animated Short Film
Good Scouts | nominated for | Academy Award for Best Animated Short Film
Brave Little Tailor | nominated for | Academy Award for Best Animated Short Film
The Adventures of Priscilla, Queen of the Desert | nominated for | Academy Award for Best Costume Design
My Left Foot | nominated for | Academy Award for Best Supporting Actress
Ordinary People | nominated for | Academy Award for Best Picture
A Free Soul | nominated for | Academy Award for Best Actor
Pirates of the Caribbean: Dead Man's Chest | nominated for | Academy Award for Best Visual Effects
One Hour with You | nominated for | Academy Award for Best Picture
House of Flying Daggers | nominated for | Academy Award for Best Cinematography
Saturday Night Fever | nominated for | Academy Award for Best Actor
Watch on the Rhine | nominated for | Academy Award for Best Picture
Winnie the Pooh and Tigger Too | nominated for | Academy Award for Best Animated Short Film
A Ship Comes In | nominated for | Academy Award for Best Actress
She Wore a Yellow Ribbon | nominated for | Academy Award for Best Cinematography, Color
