Inkspell | illustrator | Cornelia Funke
Johnny Mnemonic | genre | science fiction short story
Yalkut HaMachiri | genre | midrash
The Invasion of 1910 | genre | invasion literature
De rerum natura | genre | didactic poetry
Ma'oz Tzur | genre | piyyut
Works and Days | genre | didactic poetry
Southampton Passion | genre | Passion play
Pransakha Vivekananda | genre | biographical novel
The Classic of Tea | genre | monograph
The Arab of the Future | genre | graphic novel
Pharisee and the Publican | genre | parable
Una vieja | genre | zarzuela
The Pillars of the Earth | genre | historical novel
Dalkhi Thi Saav Chhutan | genre | ghazal
Two hundred and one miniature tales | genre | flash fiction
Oku no Hosomichi | genre | haibun
Chhe To Chhe | genre | ghazal
Atlas Black: Managing to Succeed | genre | graphic novel
El estreno de una artista | genre | zarzuela
The Clock Without a Face | genre | puzzle book
Magic Woman M | genre | magical girl
The Children of the Sky | genre | science fiction novel
Len Deighton's London Dossier | genre | guide book
The Joy of Gay Sex | genre | sex manual
The Windward Road | genre | nature writing
afternoon, a story | genre | hypertext fiction
Blackout/All Clear | genre | science fiction novel
Mrs. Warren's Profession | genre | problem play
Tanya | genre | rabbinic literature
Victory Unintentional | genre | science fiction short story
Team of Vipers | genre | memoir
The Dunwich Horror | genre | horror short story
Brody's Ghost | genre | graphic novel
The Pen-Pictures of Modern Africans and African Celebrities | genre | prosopography
Second Alcibiades | genre | dialogue
I Love Bacon! | genre | cookbook
Everything but the Brain | genre | tragicomedy
The Civil War: A Narrative | genre | narrative history
Carter Beats the Devil | genre | historical mystery
Canso d'Antioca | genre | chanson de geste
Autumn Journal | genre | long poem
Aibidil Gaoidheilge agus Caiticiosma | genre | catechism
Magical Girl Apocalypse | genre | magical girl
Dictionary of Welsh Biography | genre | biographical dictionary
Laus Pisonis | genre | panegyric
How to Cook in Palestine | genre | cookbook
Raoul de Cambrai | genre | chanson de geste
Mizukagami | genre | rekishi monogatari
The Mammoth Book of Erotica | genre | erotic literature
Combat Zone: True Tales of G.I.s in Iraq | genre | graphic novel
Love's Last Shift | genre | Restoration comedy
Rival Lovers | genre | dialogue
Incidents in the Life of a Slave Girl | genre | slave narrative
Phaedo | genre | dialogue
Fightin' Army | genre | war comics
Expressive Processing | genre | textbook
The Ramsay Scallop | genre | historical romance
Oberon Old and New | genre | libretto
The Wild Numbers | genre | mathematical fiction
Alcmeonis | language of work or name | Ancient Greek
Locus iste | language of work or name | Latin
Jabala Upanishad | language of work or name | Sanskrit
Gaudium et Spes | language of work or name | Latin
Tristia | language of work or name | Latin
Avesta | language of work or name | Avestan
Puer natus in Bethlehem | language of work or name | Latin
Kalki Purana | language of work or name | Sanskrit
Iliad | language of work or name | Ancient Greek
Amis et Amiles | language of work or name | Old French
Mahabharata | language of work or name | Sanskrit
Aiol and Mirabel | language of work or name | Old French
Pāli Canon | language of work or name | Pali
Bible | language of work or name | Koine Greek
Dhammapada | language of work or name | Pali
Yuktibhāṣā | language of work or name | Malayalam
Earth Has Many a Noble City | language of work or name | Latin
Dies Irae | language of work or name | Latin
Flos Carmeli | language of work or name | Latin
Sangita Ratnakara | language of work or name | Sanskrit
Om Jai Jagdish Hare | language of work or name | Hindi
Fire Tablet | language of work or name | Arabic
Sator Square | language of work or name | Latin
Vexilla Regis | language of work or name | Latin
Bhagavata Purana | language of work or name | Sanskrit
Almanach cracoviense ad annum 1474 | language of work or name | Latin
Alexandreis | language of work or name | Latin
Nyan Cat | depicts | rainbow
Chanson d'Antioche | depicts | Siege of Antioch
Calming the storm | depicts | storm
The Train Was on Time | depicts | soldier
Anti-Japan War Online | depicts | Second Sino-Japanese War
The Last World | depicts | Metamorphoses
The Dog King | depicts | Morgenthau Plan
lamentation of Christ | depicts | Jesus
It's Even Worse Than It Looks | depicts | United States Congress
My God, Help Me to Survive This Deadly Love | depicts | Erich Honecker
Noli me tangere | depicts | Mary Magdalene
Alexamenos graffito | depicts | Crucifixion of Jesus
Less Wrong | depicts | rationality
Die Harmonie der Welt | depicts | Johannes Kepler
The Kentucky Derby Is Decadent and Depraved | depicts | 1970 Kentucky Derby
Poetry and the Gods | depicts | Zeus
The Terrors of Ice and Darkness | depicts | North Pole
Pamphlet of Rigas Feraios | depicts | Alexander the Great
The Terrors of Ice and Darkness | depicts | Austro-Hungarian North Pole Expedition
Utendi wa Tambuka | depicts | Fall of Constantinople
