Aaron_S._Daggett | battle | American_Civil_War
Abel_Caballero | birthPlace | Spain
Abel_Caballero | office | Minister of Transport
Abel_Caballero | birthPlace | Galicia_(Spain)
Abel_Caballero | inOfficeWhileMonarch | Juan_Carlos_I_of_Spain
Juan_Carlos_I_of_Spain | predecessor | Francisco_Franco
Abel_Caballero | birthPlace | Galicia_(Spain)
Adam_Koc | battle | Polish–Soviet_War
Adam_Koc | award | Order_of_Polonia_Restituta
Adam_Koc | award | Cross_of_Valour_(Poland)
Adam_Koc | battle | Polish–Soviet_War
Adam_Koc | birthPlace | Congress_Poland
Polish–Soviet_War | commander | Leon_Trotsky
Adonis_Georgiadis | birthPlace | Greece
Adonis_Georgiadis | office | Minister for Health
Adonis_Georgiadis | birthPlace | Athens
Alfons_Gorbach | deathPlace | Graz
Alfons_Gorbach | birthPlace | County_of_Tyrol
Alfons_Gorbach | birthPlace | Imst
Alfons_Gorbach | deathPlace | Graz
Alfons_Gorbach | birthPlace | Tyrol_(state)
Alfons_Gorbach | birthPlace | Imst
Alvah_Sabin | birthPlace | Georgia,_Vermont
Alvah_Sabin | birthDate | 1793-10-23
Alvah_Sabin | office | Secretary_of_State_of_Vermont
Alvah_Sabin | party | Whig_Party_(United_States)
Whig_Party_(United_States) | leader | Daniel_Webster
Alvah_Sabin | birthPlace | Georgia,_Vermont
Austria | leader | Doris_Bures
Alfons_Gorbach | birthPlace | Austria-Hungary
Alfons_Gorbach | deathPlace | Austria
Austria | leader | Doris_Bures
Alfons_Gorbach | birthPlace | Imst
Alfons_Gorbach | deathPlace | Austria
Poland | language | Polish_language
Adam_Koc | nationality | Poland
Poland | ethnicGroup | Kashubians
