1955_Dodge | engine | V8_engine
Pontiac_Rageous | productionEndYear | 1997
Pontiac_Rageous | bodyStyle | Coupe
Pontiac_Rageous | productionStartYear | 1997
Pontiac_Rageous | productionEndYear | 1997
Pontiac_Rageous | bodyStyle | Coupe
ALCO_RS-3 | engine | Four-stroke_engine
ALCO_RS-3 | powerType | Diesel-electric_transmission
ALCO_RS-3 | length | 17068.8 (millimetres)
Pontiac | parentCompany | General_Motors
Pontiac_Rageous | productionStartYear | 1997
Pontiac_Rageous | assembly | Michigan
ALCO_RS-3 | buildDate | May 1950 - August 1956
ALCO_RS-3 | engine | Four-stroke_engine
ALCO_RS-3 | powerType | Diesel-electric_transmission
ALCO_RS-3 | length | 17068.8 (millimetres)
Pontiac | product | Automobile
Pontiac_Rageous | manufacturer | Pontiac
Pontiac | successor | Buick
Pontiac_Rageous | productionStartYear | 1997
Pontiac_Rageous | assembly | Michigan
Pontiac_Rageous | assembly | Detroit
Pontiac_Rageous | bodyStyle | Coupe
Pontiac_Rageous | manufacturer | Pontiac
Pontiac | foundationPlace | United_States
Pontiac_Rageous | productionStartYear | 1997
Pontiac | successor | Buick
Pontiac_Rageous | productionEndYear | 1997
Pontiac_Rageous | assembly | Michigan
Pontiac_Rageous | productionStartYear | 1997
Pontiac_Rageous | assembly | Michigan
Pontiac_Rageous | productionEndYear | 1997
1955_Dodge | engine | V8_engine
1955_Dodge | alternativeName | Dodge Coronet
1955_Dodge | bodyStyle | Hardtop
1955_Dodge | engine | V8_engine
1955_Dodge | transmission | 3-speed automatic
1955_Dodge | alternativeName | Dodge Coronet
ALCO_RS-3 | cylinderCount | 12
ALCO_RS-3 | builder | Montreal_Locomotive_Works
ALCO_RS-3 | length | 17068.8 (millimetres)
ALV_X-1 | countryOrigin | United_States
United_States | ethnicGroup | African_Americans
United_States | demonym | Americans
AMC_Matador | assembly | Kenosha,_Wisconsin
AMC_Matador | modelYears | 1974
AMC_Matador | relatedMeanOfTransportation | AMC_Ambassador
AMC_Matador | assembly | Port_Melbourne,_Victoria
AMC_Matador | modelYears | 1971
AMC_Matador | relatedMeanOfTransportation | AMC_Ambassador
Abarth_1000_GT_Coupé | designCompany | Gruppo_Bertone
Gruppo_Bertone | foundationPlace | Turin
Gruppo_Bertone | country | Italy
Alfa_Romeo_164 | assembly | Italy
Italy | capital | Rome
Alfa_Romeo_164 | relatedMeanOfTransportation | Lancia_Thema
Alfa_Romeo_164 | relatedMeanOfTransportation | Fiat_Croma
Alfa_Romeo_164 | assembly | Arese
Alfa_Romeo_164 | relatedMeanOfTransportation | Lancia_Thema
Alvis_Speed_25 | manufacturer | Alvis_Car_and_Engineering_Company
Alvis_Car_and_Engineering_Company | foundationPlace | Coventry
Alvis_Car_and_Engineering_Company | successor | Rover_Company
American_Motors | successor | Eagle_(automobile)
AMC_Matador | manufacturer | American_Motors
American_Motors | keyPerson | Roy_D._Chapin,_Jr.
Antares_(rocket) | manufacturer | Yuzhnoye_Design_Office
Antares_(rocket) | launchSite | Mid-Atlantic_Regional_Spaceport_Launch_Pad_0
Antares_(rocket) | maidenFlight | 2013-04-21
Argentina | capital | Buenos_Aires
Argentina | leader | Mauricio_Macri
ARA_Veinticinco_de_Mayo_(V-2) | country | Argentina
Aston_Martin_V8 | assembly | Newport Pagnell, Buckinghamshire, England, United Kingdom
Aston_Martin_V8 | engine | 5.3 (litres)
Aston_Martin_V8 | relatedMeanOfTransportation | Aston_Martin_RHAM/1
Aston_Martin_V8 | relatedMeanOfTransportation | Aston_Martin_DBS
Aston_Martin_V8 | assembly | Newport Pagnell, Buckinghamshire, England, United Kingdom
Aston_Martin_V8 | engine | 5.3 (litres)
Aston_Martin_V8 | relatedMeanOfTransportation | Aston_Martin_RHAM/1
Aston_Martin_V8 | successor | Aston_Martin_Virage
Aston_Martin_Virage | manufacturer | Aston_Martin
Atlas_II | countryOrigin | United_States
United_States | ethnicGroup | Native_Americans_in_the_United_States
United_States | leaderTitle | President_of_the_United_States
United_States | ethnicGroup | White_Americans
ALV_X-1 | countryOrigin | United_States
United_States | demonym | Americans
