s,p,o
The Peacemaker,OCCURSAT,Croatia
Dalmatia,ISPARTOF,Croatia
Istria,ISPARTOF,Croatia
Slavonia,ISPARTOF,Croatia
Krk,ISPARTOF,Croatia
Michelin,ISRELATEDTO,Croatia
Hrvatski Sokol,ISRELATEDTO,Croatia
Croatian Sports Association,ISRELATEDTO,Croatia
Franjo Bučar,ISRELATEDTO,Croatia
National Sport Programme,ISRELATEDTO,Croatia
Croatian Olympic Committee,ISRELATEDTO,Olympic Games
World Cup 1998,ISRELATEDTO,Croatia
World Cup 2018,ISRELATEDTO,Croatia
World Cup 2022,ISRELATEDTO,Croatia
Davis Cup,ISRELATEDTO,Croatia
2020 Summer Olympics,ISRELATEDTO,Croatia
2009 World Men'S Handball Championship,OCCURSAT,Croatia
2007 World Table Tennis Championships,OCCURSAT,Croatia
2000 World Rowing Championships,OCCURSAT,Croatia
1987 Summer Universiade,OCCURSAT,Croatia
1979 Mediterranean Games,OCCURSAT,Croatia
2025 World Men'S Handball Championship,OCCURSAT,Croatia
2018 World Men'S Handball Championship,OCCURSAT,Croatia
2024 Men'S European Water Polo Championship,OCCURSAT,Croatia
45.167°N 15.500°E,ISCONTAINEDIN,Croatia
